dpi	animal	observation	score
94	406	head tilt	0
94	406	head-bobbing	0
94	406	hunched	0
94	406	increased vocalization	0
94	406	kyphosis	0
94	406	lacks balance on edge of cage	0
94	406	lacks righting reflex	0
94	406	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	406	lethargic	0
94	406	moribund	0
94	406	neophobia (freezing)	0
94	406	no balance on bar	0
94	406	no bite reflex	0
94	406	no leg resistance	0
94	406	no reaction to toe pinch	0
94	406	paralysis	0
94	406	tail suspension: poor or no splay	0
94	406	weak grip: bar (fall only)	0
94	406	weak grip: grid, forelimb	0
94	406	weak grip: hindlimb hang	0
94	407	abnormal activity level: excited	0
94	407	abnormal activity level: slow	0
94	407	abnormal gait	0
94	407	abnormal landing from drop	0
94	407	abnormal pelvic elevation: high	0
94	407	abnormal pelvic elevation: low	0
94	407	abnormal posture	0
94	407	abnormal tail elevation	0
94	407	ataxia	0
94	407	bladder	0
94	407	blank stare	0
94	407	circling	0
94	407	clasping  front and back legs	0
94	407	clasping back legs	0
94	407	clasping front legs	0
94	407	convulsions	0
94	407	dehydrated	0
94	407	delayed hot plate response >5sec	0
94	407	doesn't reach for bar	0
94	407	doesn't see bar	0
94	407	head tilt	0
94	407	head-bobbing	0
94	407	hunched	0
94	407	increased vocalization	0
94	407	kyphosis	0
94	407	lacks balance on edge of cage	0
94	407	lacks righting reflex	0
94	407	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	407	lethargic	0
94	407	moribund	0
94	407	neophobia (freezing)	1
94	407	no balance on bar	0
94	407	no bite reflex	0
94	407	no leg resistance	0
94	407	no reaction to toe pinch	0
94	407	paralysis	0
94	407	tail suspension: poor or no splay	0
94	407	weak grip: bar (fall only)	2
94	407	weak grip: grid, forelimb	0
94	407	weak grip: hindlimb hang	0
94	409	abnormal activity level: excited	0.0
94	409	abnormal activity level: slow	0.0
94	409	abnormal gait	0.0
94	409	abnormal landing from drop	0.0
94	409	abnormal pelvic elevation: high	0.0
94	409	abnormal pelvic elevation: low	0.0
94	409	abnormal posture	0.0
94	409	abnormal tail elevation	0.0
94	409	ataxia	0.0
94	409	bladder	0.0
94	409	blank stare	0.0
94	409	circling	0.0
94	409	clasping  front and back legs	0.0
94	409	clasping back legs	0.0
94	409	clasping front legs	0.0
94	409	convulsions	0.0
94	409	dehydrated	0.0
94	409	delayed hot plate response >5sec	0.0
94	409	doesn't reach for bar	0.0
94	409	doesn't see bar	0.0
94	409	head tilt	0.0
94	409	head-bobbing	0.0
94	409	hunched	0.0
94	409	increased vocalization	0.0
94	409	kyphosis	0.0
94	409	lacks balance on edge of cage	0.0
94	409	lacks righting reflex	0.0
94	409	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	409	lethargic	0.0
94	409	moribund	0.0
94	409	neophobia (freezing)	0.0
94	409	no balance on bar	0.0
94	409	no bite reflex	0.0
94	409	no leg resistance	1.0
94	409	no reaction to toe pinch	0.0
94	409	paralysis	0.0
94	409	tail suspension: poor or no splay	0.0
94	409	weak grip: bar (fall only)	2.0
94	409	weak grip: grid, forelimb	0.0
94	409	weak grip: hindlimb hang	0.0
94	410	abnormal activity level: excited	0
94	410	abnormal activity level: slow	0
94	410	abnormal gait	0
94	410	abnormal landing from drop	0
94	410	abnormal pelvic elevation: high	0
94	410	abnormal pelvic elevation: low	0
94	410	abnormal posture	0
94	410	abnormal tail elevation	0
94	410	ataxia	0
94	410	bladder	0
94	410	blank stare	0
94	410	circling	0
94	410	clasping  front and back legs	0
94	410	clasping back legs	0
94	410	clasping front legs	0
94	410	convulsions	0
94	410	dehydrated	0
94	410	delayed hot plate response >5sec	0
94	410	doesn't reach for bar	0
94	410	doesn't see bar	0
94	410	head tilt	0
94	410	head-bobbing	0
94	410	hunched	0
94	410	increased vocalization	0
94	410	kyphosis	0
94	410	lacks balance on edge of cage	0
94	410	lacks righting reflex	0
94	410	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	410	lethargic	0
94	410	moribund	0
94	410	neophobia (freezing)	0
94	410	no balance on bar	0
94	410	no bite reflex	0
94	410	no leg resistance	0
94	410	no reaction to toe pinch	0
94	410	paralysis	0
94	410	tail suspension: poor or no splay	0
94	410	weak grip: bar (fall only)	0
94	410	weak grip: grid, forelimb	0
94	410	weak grip: hindlimb hang	0
94	411	abnormal activity level: excited	0
94	411	abnormal activity level: slow	0
94	411	abnormal gait	0
94	411	abnormal landing from drop	1
94	411	abnormal pelvic elevation: high	0
94	411	abnormal pelvic elevation: low	0
94	411	abnormal posture	0
94	411	abnormal tail elevation	0
94	411	ataxia	0
94	411	bladder	0
94	411	blank stare	0
94	411	circling	0
94	411	clasping  front and back legs	0
94	411	clasping back legs	2
94	411	clasping front legs	0
94	411	convulsions	0
94	411	dehydrated	0
94	411	delayed hot plate response >5sec	0
94	411	doesn't reach for bar	0
94	411	doesn't see bar	0
94	411	head tilt	0
94	411	head-bobbing	0
94	411	hunched	0
94	411	increased vocalization	1
94	411	kyphosis	0
94	411	lacks balance on edge of cage	0
94	411	lacks righting reflex	0
94	411	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	411	lethargic	0
94	411	moribund	0
94	411	neophobia (freezing)	0
94	411	no balance on bar	1
94	411	no bite reflex	0
94	411	no leg resistance	0
94	411	no reaction to toe pinch	0
94	411	paralysis	0
94	411	tail suspension: poor or no splay	0
94	411	weak grip: bar (fall only)	0
94	411	weak grip: grid, forelimb	0
94	411	weak grip: hindlimb hang	0
94	426	abnormal activity level: excited	0.0
94	426	abnormal activity level: slow	2.0
94	426	abnormal gait	0.0
94	426	abnormal landing from drop	0.0
94	426	abnormal pelvic elevation: high	0.0
94	426	abnormal pelvic elevation: low	0.0
94	426	abnormal posture	0.0
94	426	abnormal tail elevation	0.0
94	426	ataxia	0.0
94	426	bladder	0.0
94	426	blank stare	0.0
94	426	circling	0.0
94	426	clasping  front and back legs	0.0
94	426	clasping back legs	0.0
94	426	clasping front legs	0.0
94	426	convulsions	0.0
94	426	dehydrated	0.0
94	426	delayed hot plate response >5sec	1.0
94	426	doesn't reach for bar	0.0
94	426	doesn't see bar	0.0
94	426	head tilt	0.0
94	426	head-bobbing	0.0
94	426	hunched	0.0
94	426	increased vocalization	0.0
94	426	kyphosis	0.0
94	426	lacks balance on edge of cage	0.0
94	426	lacks righting reflex	1.0
94	426	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	426	lethargic	0.0
94	426	moribund	0.0
94	426	neophobia (freezing)	0.0
94	426	no balance on bar	0.0
94	426	no bite reflex	0.0
94	426	no leg resistance	1.0
94	426	no reaction to toe pinch	0.0
94	426	paralysis	0.0
94	426	tail suspension: poor or no splay	0.0
94	426	weak grip: bar (fall only)	2.0
94	426	weak grip: grid, forelimb	0.0
94	426	weak grip: hindlimb hang	0.0
94	427	abnormal activity level: excited	0.0
94	427	abnormal activity level: slow	2.0
94	427	abnormal gait	0.0
94	427	abnormal landing from drop	0.0
94	427	abnormal pelvic elevation: high	0.0
94	427	abnormal pelvic elevation: low	0.0
94	427	abnormal posture	0.0
94	427	abnormal tail elevation	0.0
94	427	ataxia	0.0
94	427	bladder	0.0
94	427	blank stare	0.0
94	427	circling	0.0
94	427	clasping  front and back legs	0.0
94	427	clasping back legs	0.0
94	427	clasping front legs	0.0
94	427	convulsions	0.0
94	427	dehydrated	0.0
94	427	delayed hot plate response >5sec	1.0
94	427	doesn't reach for bar	0.0
94	427	doesn't see bar	0.0
94	427	head tilt	0.0
94	427	head-bobbing	0.0
94	427	hunched	0.0
94	427	increased vocalization	0.0
94	427	kyphosis	0.0
94	427	lacks balance on edge of cage	0.0
94	427	lacks righting reflex	0.0
94	427	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	427	lethargic	0.0
94	427	moribund	0.0
94	427	neophobia (freezing)	2.0
94	427	no balance on bar	0.0
94	427	no bite reflex	2.0
94	427	no leg resistance	1.0
94	427	no reaction to toe pinch	0.0
94	427	paralysis	0.0
94	427	tail suspension: poor or no splay	0.0
94	427	weak grip: bar (fall only)	0.0
94	427	weak grip: grid, forelimb	0.0
94	427	weak grip: hindlimb hang	0.0
94	430	abnormal activity level: excited	0
94	430	abnormal activity level: slow	2
94	430	abnormal gait	0
94	430	abnormal landing from drop	0
94	430	abnormal pelvic elevation: high	0
94	430	abnormal pelvic elevation: low	0
94	430	abnormal posture	1
94	430	abnormal tail elevation	0
94	430	ataxia	0
94	430	bladder	0
94	430	blank stare	0
94	430	circling	0
94	430	clasping  front and back legs	0
94	430	clasping back legs	0
94	430	clasping front legs	0
94	430	convulsions	0
94	430	dehydrated	0
94	430	delayed hot plate response >5sec	1
94	430	doesn't reach for bar	0
94	430	doesn't see bar	0
94	430	head tilt	0
94	430	head-bobbing	0
94	430	hunched	0
94	430	increased vocalization	0
94	430	kyphosis	0
94	430	lacks balance on edge of cage	0
94	430	lacks righting reflex	0
94	430	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	430	lethargic	0
94	430	moribund	0
94	430	neophobia (freezing)	0
94	430	no balance on bar	0
94	430	no bite reflex	1
94	430	no leg resistance	1
94	430	no reaction to toe pinch	0
94	430	paralysis	0
94	430	tail suspension: poor or no splay	1
94	430	weak grip: bar (fall only)	2
94	430	weak grip: grid, forelimb	0
94	430	weak grip: hindlimb hang	0
94	431	abnormal activity level: excited	0
94	431	abnormal activity level: slow	2
94	431	abnormal gait	0
94	431	abnormal landing from drop	0
94	431	abnormal pelvic elevation: high	0
94	431	abnormal pelvic elevation: low	0
94	431	abnormal posture	0
94	431	abnormal tail elevation	0
94	431	ataxia	0
94	431	bladder	1
94	431	blank stare	0
94	431	circling	0
94	431	clasping  front and back legs	0
94	431	clasping back legs	0
94	431	clasping front legs	0
94	431	convulsions	0
94	431	dehydrated	0
94	431	delayed hot plate response >5sec	0
94	431	doesn't reach for bar	0
94	431	doesn't see bar	0
94	431	head tilt	0
94	431	head-bobbing	0
94	431	hunched	0
94	431	increased vocalization	0
94	431	kyphosis	0
94	431	lacks balance on edge of cage	0
94	431	lacks righting reflex	0
94	431	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	431	lethargic	0
94	431	moribund	0
94	431	neophobia (freezing)	0
94	431	no balance on bar	0
94	431	no bite reflex	1
94	431	no leg resistance	0
94	431	no reaction to toe pinch	0
94	431	paralysis	0
94	431	tail suspension: poor or no splay	0
94	431	weak grip: bar (fall only)	0
94	431	weak grip: grid, forelimb	0
94	431	weak grip: hindlimb hang	0
94	432	abnormal activity level: excited	0
94	432	abnormal activity level: slow	2
94	432	abnormal gait	0
94	432	abnormal landing from drop	0
94	432	abnormal pelvic elevation: high	0
94	432	abnormal pelvic elevation: low	0
94	432	abnormal posture	0
94	432	abnormal tail elevation	0
94	432	ataxia	0
94	432	bladder	0
94	432	blank stare	0
94	432	circling	0
94	432	clasping  front and back legs	0
94	432	clasping back legs	0
94	432	clasping front legs	0
94	432	convulsions	0
94	432	dehydrated	0
94	432	delayed hot plate response >5sec	1
94	432	doesn't reach for bar	0
94	432	doesn't see bar	0
94	432	head tilt	0
94	432	head-bobbing	0
94	432	hunched	0
94	432	increased vocalization	0
94	432	kyphosis	0
94	432	lacks balance on edge of cage	0
94	432	lacks righting reflex	0
94	432	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	432	lethargic	0
94	432	moribund	0
94	432	neophobia (freezing)	0
94	432	no balance on bar	0
94	432	no bite reflex	0
94	432	no leg resistance	1
94	432	no reaction to toe pinch	0
94	432	paralysis	0
94	432	tail suspension: poor or no splay	0
94	432	weak grip: bar (fall only)	0
94	432	weak grip: grid, forelimb	0
94	432	weak grip: hindlimb hang	0
94	433	abnormal activity level: excited	0
94	433	abnormal activity level: slow	2
94	433	abnormal gait	0
94	433	abnormal landing from drop	0
94	433	abnormal pelvic elevation: high	0
94	433	abnormal pelvic elevation: low	0
94	433	abnormal posture	0
94	433	abnormal tail elevation	0
94	433	ataxia	0
94	433	bladder	0
94	433	blank stare	0
94	433	circling	0
94	433	clasping  front and back legs	0
94	433	clasping back legs	0
94	433	clasping front legs	0
94	433	convulsions	0
94	433	dehydrated	0
94	433	delayed hot plate response >5sec	0
94	433	doesn't reach for bar	0
94	433	doesn't see bar	0
94	433	head tilt	0
94	433	head-bobbing	0
94	433	hunched	0
94	433	increased vocalization	0
94	433	kyphosis	0
94	433	lacks balance on edge of cage	0
94	433	lacks righting reflex	0
94	433	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	433	lethargic	0
94	433	moribund	0
94	433	neophobia (freezing)	0
94	433	no balance on bar	0
94	433	no bite reflex	0
94	433	no leg resistance	0
94	433	no reaction to toe pinch	0
94	433	paralysis	0
94	433	tail suspension: poor or no splay	0
94	433	weak grip: bar (fall only)	0
94	433	weak grip: grid, forelimb	0
94	433	weak grip: hindlimb hang	0
94	434	abnormal activity level: excited	0.0
94	434	abnormal activity level: slow	2.0
94	434	abnormal gait	0.0
94	434	abnormal landing from drop	1.0
94	434	abnormal pelvic elevation: high	0.0
94	434	abnormal pelvic elevation: low	0.0
94	434	abnormal posture	0.0
94	434	abnormal tail elevation	0.0
94	434	ataxia	0.0
94	434	bladder	0.0
94	434	blank stare	0.0
94	434	circling	0.0
94	434	clasping  front and back legs	0.0
94	434	clasping back legs	0.0
94	434	clasping front legs	0.0
94	434	convulsions	0.0
94	434	dehydrated	0.0
94	434	delayed hot plate response >5sec	0.0
94	434	doesn't reach for bar	0.0
94	434	doesn't see bar	0.0
94	434	head tilt	0.0
94	434	head-bobbing	0.0
94	434	hunched	0.0
94	434	increased vocalization	0.0
94	434	kyphosis	0.0
94	434	lacks balance on edge of cage	0.0
94	434	lacks righting reflex	0.0
94	434	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	434	lethargic	0.0
94	434	moribund	0.0
94	434	neophobia (freezing)	2.0
94	434	no balance on bar	0.0
94	434	no bite reflex	0.0
94	434	no leg resistance	0.0
94	434	no reaction to toe pinch	0.0
94	434	paralysis	0.0
94	434	tail suspension: poor or no splay	0.0
94	434	weak grip: bar (fall only)	0.0
94	434	weak grip: grid, forelimb	2.0
94	434	weak grip: hindlimb hang	0.0
94	437	abnormal activity level: excited	0
94	437	abnormal activity level: slow	2
94	437	abnormal gait	0
94	437	abnormal landing from drop	0
94	437	abnormal pelvic elevation: high	0
94	437	abnormal pelvic elevation: low	0
94	437	abnormal posture	0
94	437	abnormal tail elevation	0
94	437	ataxia	0
94	437	bladder	0
94	437	blank stare	0
94	437	circling	0
94	437	clasping  front and back legs	0
94	437	clasping back legs	0
94	437	clasping front legs	0
94	437	convulsions	0
94	437	dehydrated	0
94	437	delayed hot plate response >5sec	1
94	437	doesn't reach for bar	0
94	437	doesn't see bar	0
94	437	head tilt	0
94	437	head-bobbing	0
94	437	hunched	0
94	437	increased vocalization	1
94	437	kyphosis	0
94	437	lacks balance on edge of cage	0
94	437	lacks righting reflex	0
94	437	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	437	lethargic	0
94	437	moribund	0
94	437	neophobia (freezing)	0
94	437	no balance on bar	0
94	437	no bite reflex	0
94	437	no leg resistance	0
94	437	no reaction to toe pinch	0
94	437	paralysis	0
94	437	tail suspension: poor or no splay	0
94	437	weak grip: bar (fall only)	2
94	437	weak grip: grid, forelimb	0
94	437	weak grip: hindlimb hang	0
94	438	abnormal activity level: excited	0.0
94	438	abnormal activity level: slow	0.0
94	438	abnormal gait	0.0
94	438	abnormal landing from drop	0.0
94	438	abnormal pelvic elevation: high	0.0
94	438	abnormal pelvic elevation: low	0.0
94	438	abnormal posture	0.0
94	438	abnormal tail elevation	0.0
94	438	ataxia	0.0
94	438	bladder	0.0
94	438	blank stare	0.0
94	438	circling	0.0
94	438	clasping  front and back legs	0.0
94	438	clasping back legs	0.0
94	438	clasping front legs	0.0
94	438	convulsions	0.0
94	438	dehydrated	0.0
94	438	delayed hot plate response >5sec	1.0
94	438	doesn't reach for bar	0.0
94	438	doesn't see bar	0.0
94	438	head tilt	0.0
94	438	head-bobbing	0.0
94	438	hunched	0.0
94	438	increased vocalization	0.0
94	438	kyphosis	0.0
94	438	lacks balance on edge of cage	0.0
94	438	lacks righting reflex	0.0
94	438	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	438	lethargic	0.0
94	438	moribund	0.0
94	438	neophobia (freezing)	2.0
94	438	no balance on bar	2.0
94	438	no bite reflex	0.0
94	438	no leg resistance	0.0
94	438	no reaction to toe pinch	0.0
94	438	paralysis	0.0
94	438	tail suspension: poor or no splay	0.0
94	438	weak grip: bar (fall only)	2.0
94	438	weak grip: grid, forelimb	0.0
94	438	weak grip: hindlimb hang	0.0
94	439	abnormal activity level: excited	0.0
94	439	abnormal activity level: slow	0.0
94	439	abnormal gait	0.0
94	439	abnormal landing from drop	0.0
94	439	abnormal pelvic elevation: high	0.0
94	439	abnormal pelvic elevation: low	0.0
94	439	abnormal posture	0.0
94	439	abnormal tail elevation	0.0
94	439	ataxia	0.0
94	439	bladder	2.0
94	439	blank stare	1.0
94	439	circling	0.0
94	439	clasping  front and back legs	0.0
94	439	clasping back legs	0.0
94	439	clasping front legs	0.0
94	439	convulsions	0.0
94	439	dehydrated	0.0
94	439	delayed hot plate response >5sec	0.0
94	439	doesn't reach for bar	0.0
94	439	doesn't see bar	0.0
94	439	head tilt	0.0
94	439	head-bobbing	0.0
94	439	hunched	0.0
94	439	increased vocalization	0.0
94	439	kyphosis	0.0
94	439	lacks balance on edge of cage	0.0
94	439	lacks righting reflex	0.0
94	439	lacks righting reflex (flipped on back by tail, not contact right reflex)	0.0
94	439	lethargic	0.0
94	439	moribund	0.0
94	439	neophobia (freezing)	2.0
94	439	no balance on bar	0.0
94	439	no bite reflex	2.0
94	439	no leg resistance	0.0
94	439	no reaction to toe pinch	0.0
94	439	paralysis	0.0
94	439	tail suspension: poor or no splay	0.0
94	439	weak grip: bar (fall only)	2.0
94	439	weak grip: grid, forelimb	0.0
94	439	weak grip: hindlimb hang	0.0
94	440	abnormal activity level: excited	0
94	440	abnormal activity level: slow	0
94	440	abnormal gait	0
94	440	abnormal landing from drop	0
94	440	abnormal pelvic elevation: high	0
94	440	abnormal pelvic elevation: low	0
94	440	abnormal posture	0
94	440	abnormal tail elevation	0
94	440	ataxia	0
94	440	bladder	2
94	440	blank stare	0
94	440	circling	0
94	440	clasping  front and back legs	0
94	440	clasping back legs	0
94	440	clasping front legs	0
94	440	convulsions	0
94	440	dehydrated	0
94	440	delayed hot plate response >5sec	0
94	440	doesn't reach for bar	0
94	440	doesn't see bar	0
94	440	head tilt	0
94	440	head-bobbing	0
94	440	hunched	0
94	440	increased vocalization	0
94	440	kyphosis	0
94	440	lacks balance on edge of cage	0
94	440	lacks righting reflex	0
94	440	lacks righting reflex (flipped on back by tail, not contact right reflex)	0
94	440	lethargic	0
94	440	moribund	0
94	440	neophobia (freezing)	0
94	440	no balance on bar	0
94	440	no bite reflex	0
94	440	no leg resistance	0
94	440	no reaction to toe pinch	0
94	440	paralysis	0
94	440	tail suspension: poor or no splay	0
94	440	weak grip: bar (fall only)	1
94	440	weak grip: grid, forelimb	0
94	440	weak grip: hindlimb hang	0
94	442	abnormal activity level: excited	0.0
94	442	abnormal activity level: slow	0.0
94	442	abnormal gait	0.0
94	442	abnormal landing from drop	0.0
94	442	abnormal pelvic elevation: high	0.0
94	442	abnormal pelvic elevation: low	0.0
94	442	abnormal posture	0.0
94	442	abnormal tail elevation	0.0
94	442	ataxia	0.0
94	442	bladder	0.0
94	442	blank stare	0.0
94	442	circling	0.0
94	442	clasping  front and back legs	0.0
94	442	clasping back legs	0.0
